TA.COUNTY.w.,TA.TOWN.w.,TA.ODD.w.
宜蘭縣,三星鄉,0.190231842
宜蘭縣,蘇澳鎮,0.18370719
宜蘭縣,礁溪鄉,0.169912995
宜蘭縣,頭城鎮,0.168658198
宜蘭縣,壯圍鄉,0.161141539
宜蘭縣,全縣平均,0.150852731
新竹縣,新埔鎮,0.185992593
新竹縣,峨眉鄉,0.255171184
新竹縣,橫山鄉,0.215142198
新竹縣,北埔鄉,0.204271223
新竹縣,關西鎮,0.202549673
新竹縣,全縣平均,0.154513944
苗栗縣,卓蘭鎮,0.201917954
苗栗縣,大湖鄉,0.204273095
苗栗縣,西湖鄉,0.233736975
苗栗縣,三灣鄉,0.21282929
苗栗縣,獅潭鄉,0.265617875
苗栗縣,全縣平均,0.180852801
彰化縣,二水鄉,0.223286952
彰化縣,芳苑鄉,0.21310353
彰化縣,大城鄉,0.243980548
彰化縣,竹塘鄉,0.217399882
彰化縣,溪州鄉,0.191778529
彰化縣,全縣平均,0.161708214
南投縣,集集鎮,0.210724106
南投縣,鹿谷鄉,0.217330105
南投縣,中寮鄉,0.220997837
南投縣,魚池鄉,0.20588606
南投縣,水里鄉,0.204834966
南投縣,全縣平均,0.177703028
雲林縣,二崙鄉,0.21995423
雲林縣,東勢鄉,0.220190247
雲林縣,元長鄉,0.236470543
雲林縣,四湖鄉,0.218351597
雲林縣,水林鄉,0.243986524
雲林縣,全縣平均,0.19065031
嘉義縣,溪口鄉,0.232474332
嘉義縣,六腳鄉,0.255168544
嘉義縣,東石鄉,0.226071875
嘉義縣,義竹鄉,0.248353921
嘉義縣,鹿草鄉,0.250209475
嘉義縣,全縣平均,0.195434049
屏東縣,高樹鄉,0.229509536
屏東縣,新埤鄉,0.202576809
屏東縣,南州鄉,0.206387976
屏東縣,佳冬鄉,0.205845642
屏東縣,車城鄉,0.208731713
屏東縣,全縣平均,0.159986047
臺東縣,成功鎮,0.193084994
臺東縣,鹿野鄉,0.200454718
臺東縣,池上鄉,0.211977648
臺東縣,東河鄉,0.221127917
臺東縣,長濱鄉,0.23386652
臺東縣,全縣平均,0.152961004
花蓮縣,鳳林鎮,0.24335472
花蓮縣,玉里鎮,0.199768719
花蓮縣,光復鄉,0.217222352
花蓮縣,瑞穗鄉,0.211244774
花蓮縣,富里鄉,0.227553582
花蓮縣,全縣平均,0.166607715
基隆市,中正區,0.16956052
基隆市,七堵區,0.141905804
基隆市,仁愛區,0.187310495
基隆市,中山區,0.1590451
基隆市,信義區,0.153950771
基隆市,全市平均,0.153841133
新竹市,東區,0.111668898
新竹市,北區,0.128783611
新竹市,香山區,0.109610782
新竹市,全市平均,0.116687764
嘉義市,東區,0.153391021
嘉義市,西區,0.136627236
嘉義市,全市平均,0.145009129
臺北市,松山區,0.182627092
臺北市,信義區,0.181509338
臺北市,大安區,0.194793615
臺北市,中山區,0.174665878
臺北市,萬華區,0.185443706
臺北市,全市平均,0.16772088
高雄市,前金區,0.220447522
高雄市,田寮區,0.276707773
高雄市,美濃區,0.245152041
高雄市,杉林區,0.221997982
高雄市,內門區,0.213347093
高雄市,全市平均,0.158597332
新北市,石碇區,0.20793238
新北市,坪林區,0.242085946
新北市,平溪區,0.286169535
新北市,雙溪區,0.253909326
新北市,貢寮區,0.214049787
新北市,全市平均,0.150609367
臺中市,中區,0.173903674
臺中市,東勢區,0.187867742
臺中市,新社區,0.184816605
臺中市,石岡區,0.1724
臺中市,大安區,0.164461738
臺中市,全市平均,0.130242194
臺南市,白河區,0.240439669
臺南市,後壁區,0.24536801
臺南市,大內區,0.246490504
臺南市,左鎮區,0.273969766
臺南市,龍崎區,0.259305521
臺南市,全市平均,0.179753069
桃園市,大溪區,0.132445298
桃園市,龍潭區,0.121093527
桃園市,新屋區,0.163500264
桃園市,觀音區,0.121009862
桃園市,復興區,0.117168498
桃園市,全市平均,0.115938685
