"TOWN_ID","TOWN","COUNTY_ID","COUNTY","A0A14_CNT","A0A14_M","A0A14_F","A15A64_CNT","A15A64_M","A15A64_F","A65UP_CNT","A65UP_M","A65UP_F","INFO_TIME","Area","POP","ODD"
"09007010","南竿鄉","09007","連江縣",971,499,472,5893,3391,2502,788,420,368,"107Y06M",10.5733742089376,7652,0.102979613173027
"09007020","北竿鄉","09007","連江縣",249,136,113,1839,1035,804,316,167,149,"107Y06M",9.31847109103231,2404,0.131447587354409
"09007030","莒光鄉","09007","連江縣",126,73,53,1296,815,481,216,114,102,"107Y06M",4.86300608475398,1638,0.131868131868132
"09007040","東引鄉","09007","連江縣",179,107,72,1064,644,420,107,54,53,"107Y06M",4.98020916373346,1350,0.0792592592592593
"09020010","金城鎮","09020","金門縣",4501,2358,2143,33324,16606,16718,5478,2645,2833,"107Y06M",22.5184002783888,43303,0.126503937371545
"09020020","金沙鎮","09020","金門縣",1749,945,804,15916,7860,8056,2962,1412,1550,"107Y06M",54.1539761679092,20627,0.143598196538517
"09020030","金湖鎮","09020","金門縣",3072,1596,1476,22855,11485,11370,3564,1721,1843,"107Y06M",42.1513107094019,29491,0.120850428944424
"09020040","金寧鄉","09020","金門縣",2731,1443,1288,24785,12504,12281,3401,1670,1731,"107Y06M",42.5643369992404,30917,0.110004204806417
"09020050","烈嶼鄉","09020","金門縣",944,464,480,10067,5030,5037,1802,823,979,"107Y06M",21.2206696899396,12813,0.140638414110669
"09020060","烏坵鄉","09020","金門縣",83,42,41,534,273,261,69,32,37,"107Y06M",2.39666529493562,686,0.100583090379009
"10002010","宜蘭市","10002","宜蘭縣",13407,6933,6474,68687,33608,35079,13844,6203,7641,"107Y06M",30.4301832000254,95938,0.144301528070212
"10002020","羅東鎮","10002","宜蘭縣",12030,6198,5832,49929,23454,26475,10531,4676,5855,"107Y06M",11.2758693132477,72490,0.145275210373845
"10002030","蘇澳鎮","10002","宜蘭縣",4132,2168,1964,28474,14818,13656,7338,3365,3973,"107Y06M",89.5763067240192,39944,0.183707190066093
"10002040","頭城鎮","10002","宜蘭縣",3143,1655,1488,21138,11185,9953,4926,2218,2708,"107Y06M",102.494686032275,29207,0.168658198377101
"10002050","礁溪鄉","10002","宜蘭縣",3637,1889,1748,25939,13696,12243,6054,2938,3116,"107Y06M",100.681271396175,35630,0.169912994667415
"10002060","壯圍鄉","10002","宜蘭縣",2151,1120,1031,18219,9843,8376,3913,1893,2020,"107Y06M",39.4497804341042,24283,0.161141539348515
"10002070","員山鄉","10002","宜蘭縣",3130,1685,1445,24020,12949,11071,5147,2491,2656,"107Y06M",141.53084030521,32297,0.159364646871226
"10002080","冬山鄉","10002","宜蘭縣",5971,3077,2894,38835,20265,18570,8137,3810,4327,"107Y06M",75.1294888180826,52943,0.153693594998394
"10002090","五結鄉","10002","宜蘭縣",3551,1868,1683,29884,15667,14217,6156,2897,3259,"107Y06M",40.2789077679546,39591,0.15548988406456
"10002100","三星鄉","10002","宜蘭縣",1744,943,801,15615,8590,7025,4078,1999,2079,"107Y06M",88.0380158533185,21437,0.190231842142091
"10002110","大同鄉","10002","宜蘭縣",1085,552,533,4574,2492,2082,565,282,283,"107Y06M",770.020938907149,6224,0.0907776349614396
"10002120","南澳鄉","10002","宜蘭縣",1168,583,585,4326,2286,2040,528,249,279,"107Y06M",712.519980023915,6022,0.0876785121222185
"68000010","桃園區","68000","桃園市",69668,36315,33353,327140,157975,169165,47270,21207,26063,"107Y06M",34.3391196040864,444078,0.106445264120267
"68000020","中壢區","68000","桃園市",62301,32367,29934,300309,148161,152148,46273,20792,25481,"107Y06M",76.0877294505224,408883,0.113169292927317
"68000030","大溪區","68000","桃園市",13242,6941,6301,68951,35481,33470,12548,5844,6704,"107Y06M",105.162698545589,94741,0.132445298234133
"68000040","楊梅區","68000","桃園市",25852,13573,12279,125112,62832,62280,18095,8706,9389,"107Y06M",89.6605994851032,169059,0.107033639143731
"68000050","蘆竹區","68000","桃園市",28282,14797,13485,120163,59261,60902,14787,6973,7814,"107Y06M",74.8264807326748,163232,0.0905888551264458
"68000060","大園區","68000","桃園市",13219,6940,6279,66711,34241,32470,9915,4740,5175,"107Y06M",90.0822752956478,89845,0.110356725471646
"68000070","龜山區","68000","桃園市",23044,12012,11032,118591,59065,59526,17452,8145,9307,"107Y06M",71.4445348259485,159087,0.10970098122411
"68000080","八德區","68000","桃園市",29313,15282,14031,148852,74405,74447,21949,10416,11533,"107Y06M",33.7832397929669,200114,0.109682480985838
"68000090","龍潭區","68000","桃園市",17224,8912,8312,90573,45366,45207,14852,7129,7723,"107Y06M",75.9410496418911,122649,0.121093527056886
"68000100","平鎮區","68000","桃園市",34281,17849,16432,167298,83096,84202,23651,10927,12724,"107Y06M",43.467489348082,225230,0.105008213825867
