"TA.COUNTY.w.","TA.TOWN.w.","TA.ODD.w."
"連江縣","南竿鄉",0.102979613173027
"連江縣","北竿鄉",0.131447587354409
"連江縣","莒光鄉",0.131868131868132
"連江縣","東引鄉",0.0792592592592593
NA,NA,0.111388647913707
"金門縣","金城鎮",0.126503937371545
"金門縣","金沙鎮",0.143598196538517
"金門縣","金湖鎮",0.120850428944424
"金門縣","金寧鄉",0.110004204806417
"金門縣","烈嶼鄉",0.140638414110669
NA,NA,0.123696378691763
"宜蘭縣","蘇澳鎮",0.183707190066093
"宜蘭縣","頭城鎮",0.168658198377101
"宜蘭縣","礁溪鄉",0.169912994667415
"宜蘭縣","壯圍鄉",0.161141539348515
"宜蘭縣","三星鄉",0.190231842142091
NA,NA,0.150852731338593
"新竹縣","新埔鎮",0.185992592815633
"新竹縣","關西鎮",0.202549673475059
"新竹縣","橫山鄉",0.215142198308993
"新竹縣","北埔鄉",0.20427122263748
"新竹縣","峨眉鄉",0.255171184022825
NA,NA,0.154513944477966
"苗栗縣","卓蘭鎮",0.201917954182206
"苗栗縣","大湖鄉",0.204273094569609
"苗栗縣","西湖鄉",0.233736975499859
"苗栗縣","三灣鄉",0.212829290072928
"苗栗縣","獅潭鄉",0.265617875057
NA,NA,0.180852800516786
"彰化縣","二水鄉",0.223286951955894
"彰化縣","芳苑鄉",0.213103530392332
"彰化縣","大城鄉",0.243980547977701
"彰化縣","竹塘鄉",0.217399881633458
"彰化縣","溪州鄉",0.191778529106551
NA,NA,0.161708213633056
"南投縣","集集鎮",0.210724106324473
"南投縣","鹿谷鄉",0.217330105286864
"南投縣","中寮鄉",0.220997836668469
"南投縣","魚池鄉",0.205886059994958
"南投縣","水里鄉",0.204834965747608
NA,NA,0.177703028215998
"雲林縣","二崙鄉",0.219954230031005
"雲林縣","東勢鄉",0.220190246516613
"雲林縣","元長鄉",0.23647054272562
"雲林縣","四湖鄉",0.218351596810643
"雲林縣","水林鄉",0.243986523544621
NA,NA,0.190650310014199
"嘉義縣","溪口鄉",0.232474331950772
"嘉義縣","六腳鄉",0.255168544175407
"嘉義縣","東石鄉",0.226071875126044
"嘉義縣","義竹鄉",0.248353920661697
"嘉義縣","鹿草鄉",0.250209474701901
NA,NA,0.195434048923817
"屏東縣","高樹鄉",0.229509535671989
"屏東縣","新埤鄉",0.202576808721506
"屏東縣","南州鄉",0.206387975575388
"屏東縣","佳冬鄉",0.205845641772415
"屏東縣","車城鄉",0.208731712936298
NA,NA,0.159986046887792
"臺東縣","成功鎮",0.193084994014506
"臺東縣","鹿野鄉",0.200454717696097
"臺東縣","池上鄉",0.211977648202138
"臺東縣","東河鄉",0.221127916520108
"臺東縣","長濱鄉",0.233866519580805
NA,NA,0.152961003763447
"花蓮縣","鳳林鎮",0.243354720439963
"花蓮縣","玉里鎮",0.19976871928303
"花蓮縣","光復鄉",0.217222351752545
"花蓮縣","瑞穗鄉",0.211244774336661
"花蓮縣","富里鄉",0.227553581772543
NA,NA,0.166607714534147
"澎湖縣","湖西鄉",0.175210722675142
"澎湖縣","白沙鄉",0.175394001016777
"澎湖縣","西嶼鄉",0.204585956991802
"澎湖縣","望安鄉",0.191749427043545
"澎湖縣","七美鄉",0.164769787894465
NA,NA,0.175379056737255
"基隆市","中正區",0.169560520121928
"基隆市","七堵區",0.14190580422564
"基隆市","仁愛區",0.187310494637281
"基隆市","中山區",0.15904509952129
"基隆市","信義區",0.153950770998946
NA,NA,0.153841132502714
"新竹市","東區",0.111668898333948
"新竹市","北區",0.128783610925166
"新竹市","香山區",0.109610781891951
NA,NA,0.116687763717021
"嘉義市","東區",0.153391021374159
"嘉義市","西區",0.136627235811004
NA,NA,0.145009128592581
"臺北市","松山區",0.182627091976782
"臺北市","信義區",0.181509338065155
"臺北市","大安區",0.194793615103556
"臺北市","中山區",0.17466587776695
"臺北市","萬華區",0.185443705620254
NA,NA,0.167720879944817
"高雄市","前金區",0.220447522245802
"高雄市","田寮區",0.276707773313011
"高雄市","美濃區",0.24515204104731
"高雄市","杉林區",0.221997981836529
"高雄市","內門區",0.213347093223254
NA,NA,0.158597332147628
"新北市","石碇區",0.207932379713914
"新北市","坪林區",0.242085945863282
"新北市","平溪區",0.2861695347355
"新北市","雙溪區",0.253909326133423
"新北市","貢寮區",0.214049786514138
NA,NA,0.150609367350781
"臺中市","中區",0.173903674173042
"臺中市","東勢區",0.187867741743764
"臺中市","新社區",0.184816605061132
"臺中市","石岡區",0.1724
"臺中市","大安區",0.164461738002594
NA,NA,0.130242193863955
"臺南市","白河區",0.240439669187814
"臺南市","後壁區",0.245368009518953
"臺南市","大內區",0.246490503715937
"臺南市","左鎮區",0.273969765997101
"臺南市","龍崎區",0.259305520859355
NA,NA,0.179753068577314
"桃園市","大溪區",0.132445298234133
"桃園市","龍潭區",0.121093527056886
"桃園市","新屋區",0.163500264431878
"桃園市","觀音區",0.121009862169079
"桃園市","復興區",0.117168497861277
NA,NA,0.115938684813729
